#,Word,Oxford 3000,Oxford 5000,Level,Part Of Speech,Site URL
48,accumulate,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate
49,accumulation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation
50,accuracy,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy
51,accurate,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accurate
52,accurately,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accurately
53,accusation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accusation
54,accuse,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accuse
55,accused,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/the-accused
56,achieve,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/achieve
57,achievement,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/achievement
58,acid,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acid_2
59,acid,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1
60,acknowledge,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge
61,acquire,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acquire
62,acquisition,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acquisition
63,acre,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acre
64,across,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/across_2
65,across,1,1,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/across_1
66,act,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/act_2
67,act,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/act_1
68,action,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/action_1
69,activate,0,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/activate
70,activation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activation
71,active,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/active_1
72,activist,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activist
73,activity,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activity
74,actor,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actor
75,actress,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actress
76,actual,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/actual
77,actually,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/actually
78,acute,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acute
79,ad,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1
80,adapt,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adapt
81,adaptation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adaptation
82,add,1,1,a1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/add_1
83,addiction,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addiction
84,addition,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addition
85,additional,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/additional
86,additionally,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/additionally
87,address,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/address_1
88,address,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/address_2
89,adequate,0,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adequate
90,adequately,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/adequately
91,adhere,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adhere
92,adjacent,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adjacent
93,adjust,0,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adjust
94,adjustment,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adjustment
95,administer,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/administer
96,administration,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administration
97,administrative,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/administrative
98,administrator,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administrator
99,admire,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admire
100,admission,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/admission
101,admit,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admit
102,adolescent,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adolescent_1
103,adopt,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adopt
104,adoption,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adoption
105,adult,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adult_2
106,adult,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adult_1
107,advance,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3
108,advance,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1
109,advance,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2
110,advanced,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advanced
111,advantage,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_1
112,adventure,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adventure
113,adverse,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adverse
114,advertise,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advertise
115,advertisement,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertisement
116,advertising,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertising
117,advice,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advice
118,advise,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advise
119,advocate,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_1
120,advocate,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_2
121,aesthetic,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aesthetic_1
122,affair,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/affair
123,affect,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/affect
124,affection,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/affection
125,afford,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/afford
126,affordable,0,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/affordable
127,afraid,1,1,a1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/afraid
128,after,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/after_3
129,after,1,1,a2,conjunction,https://www.oxfordlearnersdictionaries.com/definition/english/after_2
130,after,1,1,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/after_1
131,aftermath,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aftermath
132,afternoon,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/afternoon
133,afterwards,1,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards
134,again,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/again
135,against,1,1,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/against
136,age,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/age_1
137,age,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/age_3
138,aged,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aged
139,agency,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agency
140,agenda,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agenda
141,agent,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agent
142,aggression,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aggression
143,aggressive,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive
144,ago,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/ago
145,agree,1,1,a1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/agree
146,agreement,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agreement
147,agricultural,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/agricultural
148,agriculture,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agriculture
149,ah,1,1,a2,exclamation,https://www.oxfordlearnersdictionaries.com/definition/english/ah_1
150,ahead,1,1,b1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/ahead
151,aid,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1
152,aid,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/aid_2
153,aide,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aide
154,aids,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aids
155,aim,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aim_2
156,aim,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1
157,air,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/air_1
158,aircraft,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aircraft
159,airline,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/airline
160,airport,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/airport
161,alarm,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alarm_1
162,alarm,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/alarm_2
163,albeit,0,1,c1,conjunction,https://www.oxfordlearnersdictionaries.com/definition/english/albeit
164,album,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/album
165,alcohol,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alcohol
166,alcoholic,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholic_1
167,alert,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alert_3
168,alert,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alert_2
169,alert,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/alert_1
170,alien,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alien_2
171,alien,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alien_1
172,align,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/align
173,alignment,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alignment
174,alike,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alike_2
175,alike,0,1,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/alike_1
176,alive,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alive
177,all,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/all_3
178,all,1,1,a1,determiner,https://www.oxfordlearnersdictionaries.com/definition/english/all_1
179,all,1,1,a1,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/all_2
180,all right,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_2
181,all right,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_2
182,all right,1,1,a2,exclamation,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_1
183,allegation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/allegation
184,allege,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/allege
185,allegedly,0,1,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/allegedly
186,alliance,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alliance
187,allocate,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/allocate
188,allocation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/allocation
189,allow,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/allow
190,allowance,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/allowance
191,ally,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ally_1
192,almost,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/almost
193,alone,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alone
194,alone,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/alone
195,along,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/along_2
196,along,1,1,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/along_1
197,alongside,0,1,b2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/alongside_2
198,already,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/already
199,also,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/also
200,alter,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/alter
201,alternative,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/alternative_2
202,alternative,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alternative_1
203,although,1,1,a2,conjunction,https://www.oxfordlearnersdictionaries.com/definition/english/although
204,altogether,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/altogether_1
205,aluminium,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aluminium
206,always,1,1,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/always
207,amateur,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/amateur_1
208,amateur,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/amateur_2
209,amazed,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/amazed
210,amazing,1,1,a1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/amazing
211,ambassador,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ambassador
212,ambition,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ambition_1
213,ambitious,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/ambitious
214,ambulance,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ambulance
215,amend,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/amend
216,amendment,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/amendment
217,amid,0,1,c1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/amid
218,among,1,1,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/among
219,amount,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/amount_1
220,amount,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/amount_2
221,amusing,0,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/amusing
222,analogy,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/analogy
223,analyse,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/analyse
224,analysis,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/analysis
225,analyst,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/analyst
226,ancestor,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ancestor
227,anchor,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/anchor_1
228,ancient,1,1,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/ancient
229,and,1,1,a1,conjunction,https://www.oxfordlearnersdictionaries.com/definition/english/and
230,angel,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/angel
231,anger,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/anger_1
232,angle,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/angle_1
233,angry,1,1,a1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/angry
234,animal,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/animal_1
235,animation,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/animation
236,ankle,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ankle
237,anniversary,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/anniversary
238,announce,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/announce
239,announcement,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/announcement
240,annoy,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/annoy
241,annoyed,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/annoyed
242,annoying,1,1,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/annoying
243,annual,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/annual_1
244,annually,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/annually
245,anonymous,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/anonymous
246,another,1,1,a1,determiner,https://www.oxfordlearnersdictionaries.com/definition/english/another
247,another,1,1,a1,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/another
248,answer,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/answer_1
249,answer,1,1,a1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/answer_2
250,anticipate,0,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/anticipate
251,anxiety,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/anxiety
252,anxious,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/anxious
253,any,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/any_3
254,any,1,1,a1,determiner,https://www.oxfordlearnersdictionaries.com/definition/english/any_1
255,any,1,1,a1,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/any_2
256,any more,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/any-more
257,anybody,1,1,a2,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/anybody
258,anyone,1,1,a1,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/anyone
259,anything,1,1,a1,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/anything
260,anyway,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/anyway
261,anywhere,1,1,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/anywhere_1
262,anywhere,1,1,a2,pronoun,https://www.oxfordlearnersdictionaries.com/definition/english/anywhere_2
263,apart,1,1,b1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/apart
264,apartment,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/apartment
265,apologize,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/apologize
266,apology,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/apology
267,app,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/app
268,apparatus,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/apparatus
269,apparent,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/apparent
270,apparently,1,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/apparently
271,appeal,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1
272,appeal,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2
273,appealing,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/appealing
274,appear,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/appear
275,appearance,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/appearance
276,appetite,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/appetite
277,applaud,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/applaud
278,apple,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/apple
279,applicable,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/applicable
280,applicant,0,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/applicant
281,application,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/application
282,apply,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/apply
283,appoint,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/appoint
284,appointment,1,1,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/appointment
285,appreciate,1,1,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/appreciate
286,appreciation,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/appreciation
287,approach,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/approach_1
288,approach,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/approach_2
289,appropriate,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/appropriate_1
290,appropriately,0,1,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/appropriately
291,approval,1,1,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/approval
292,approve,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/approve
293,approximately,1,1,b1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/approximately
294,april,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/april
295,arbitrary,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/arbitrary
296,architect,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/architect_1
297,architectural,0,1,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/architectural
298,architecture,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/architecture
299,archive,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/archive_1
300,area,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/area
301,arena,0,1,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/arena
302,arguably,0,1,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/arguably
303,argue,1,1,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/argue
304,argument,1,1,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/argument
305,arise,1,1,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/arise
306,arm,1,1,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/arm_1
307,arm,0,1,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/arm_2
308,armed,1,1,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/armed
